4.4,928
0.685,935
1.504,562
4.322,149
3.665,777
3.54,179
0.524,844
3.752,328
2.369,393
4.134,815
3.831,774
1.49,697
3.538,170
3.161,233
4.057,264
0.806,267
4.54,264
4.397,253
1.061,260
1.899,851
4.953,296
4.089,773
2.866,798
0.875,814
0.894,618
1.42,671
3.722,767
1.236,935
0.822,846
4.414,890
1.403,820
0.982,273
0.786,143
4.695,595
4.607,638
1.295,130
0.993,249
0.232,177
3.505,750
2.954,306
4.022,197
3.709,191
5.019,795
2.629,449
4.416,814
3.361,603
1.122,311
4.56,203
1.22,178
3.213,272
3.255,729
1.197,124
1.602,329
0.461,272
5.016,749
2.814,240
3.668,408
4.932,816
0.533,271
1.811,697
0.737,739
0.576,671
3.861,925
3.773,206
4.886,626
3.336,880
4.35,592
0.987,249
5.285,731
0.322,699
4.418,838
3.901,157
4.49,823
2.845,429
3.547,644
0.902,113
0.284,756
1.628,719
3.598,554
3.77,684
0.962,135
4.762,686
0.844,876
3.183,235
1.36,300
3.332,275
4.894,901
4.416,270
0.872,187
3.758,718
2.867,671
0.57,627
0.49,276
0.829,291
1.3,693
1.561,689
1.376,233
3.606,865
1.86,800
3.252,399
2.497,437
1.741,804
0.949,740
1.035,757
1.311,939
1.453,785
1.018,297
3.69,561
3.497,696
1.128,727
1.275,126
4.547,853
1.385,630
4.698,274
5.076,662
2.942,664
2.937,739
1.975,783
3.391,791
1.037,146
3.165,272
0.24,774
3.691,722
1.786,437
1.459,205
4.366,774
2.038,225
1.769,689
4.152,175
3.175,162
4.043,846
4.266,329
0.603,143
4.594,576
5.02,714
3.147,835
4.328,237
3.103,866
3.989,602
1.332,684
0.45,642
3.569,748
4.153,597
4.563,218
2.982,646
0.664,214
0.791,197
0.23,652
4.607,895
1.459,217
3.051,657
0.57,149
0.899,637
5.029,747
3.019,875
0.292,185
3.579,342
1.554,427
1.813,184
1.128,927
4.026,755
3.034,192
3.225,310
0.724,221
4.845,205
0.504,318
0.436,797
0.589,846
1.826,304
0.261,685
3.941,725
4.22,298
3.74,572
4.213,348
3.283,760
4.809,819
3.692,139
3.903,117
0.634,657
1.775,671
4.046,599
3.996,244
1.979,381
3.699,614
4.169,214
1.236,659
1.588,246
0.606,804
1.574,620
3.752,777
1.012,276
4.173,714
0.676,137
3.904,546
0.587,648
0.683,141
0.532,149
0.908,204
1.714,327
1.175,260
4.822,721
3.001,192
4.935,725
0.897,639
0.399,702
0.87,777
3.702,304
2.865,853
2.282,371
3.015,761
2.291,442
1.567,328
1.298,783
4.101,759
4.448,183
0.883,683
3.795,161
4.37,767
2.154,427
0.976,265
3.53,955
0.883,943
4.291,593
4.061,238
0.346,786
3.625,733
1.714,835
4.261,873
5.384,233
3.523,621
0.994,744
3.965,586
1.433,947
0.472,657
3.567,396
4.917,820
4.028,833
1.485,258
0.47,822
3.693,803
4.855,642
0.744,226
0.577,633
5.107,694
1.818,679
1.318,306
3.673,542
4.053,599
2.455,426
1.175,133
1.668,744
4.228,711
4.981,790
3.804,748
1.211,279
3.368,245
0.956,850
4.142,957
0.582,190
1.043,917
3.009,792
1.684,187
1.83,219
2.707,444
3.854,635
0.673,749
3.491,853
4.511,333
4.524,758
1.927,680
1.52,239
3.84,641
3.189,677
3.861,877
1.52,749
0.744,857
0.748,604
1.021,684
3.167,692
3.517,240
1.449,267
1.791,160
3.974,814
2.943,704
1.055,738
3.898,899
4.983,820
5.318,734
1.453,768
1.662,146
2.568,374
4.256,800
3.61,141
4.325,918
3.227,905
3.934,592
4.48,870
3.61,215
5.043,831
1.332,804
4.768,936
0.804,921
4.859,782
4.766,295
3.636,681
1.486,735
1.53,918
4.506,626
4.776,739
2.368,451
0.632,835
1.754,255
1.85,387
2.137,410
2.783,675
5.135,741
0.455,172
1.751,312
0.515,154
3.408,880
3.313,839
1.03,268
4.849,609
3.348,713
0.845,577
4.516,750
3.746,968
4.235,723
0.271,238
1.177,587
0.659,688
4.494,634
0.773,574
4.583,939
0.923,961
5.087,673
1.292,594
1.621,414
2.107,372
0.757,270
1.389,308
1.315,804
0.769,278
0.944,146
